,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Rom,Tomteareal,Kommunale avg.,Bruttoareal,Tomt,Grunnflate,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Utleiedel
806,https://www.finn.no/realestate/homes/ad.html?finnkode=205105672,Lekker og moderne 3-roms med flott utsikt - Nytt delikat kjøkken/bad - KUN TG1 - Fyring og varmtvann inkl!,"Ammerudveien 70, 0958 Oslo",2990000,Leilighet,Andel,2,74 m²,81.0,4,1967,F -lysegrønn,376 kr,15 554 kr,3005930.0,5 284 kr,,,,,,,,,,
807,https://www.finn.no/realestate/homes/ad.html?finnkode=204814001,Nyoppført enebolig (252 bra) med fantastisk utsikt | Store uteplasser | Garasje | Innerst i stikkvei | Barnevennlig,"Slyngveien 20 A, 0376 Oslo",22500000,Enebolig,Eier (Selveier),3,203 m²,252.0,,2021,B -oransje,,90 670 kr,22590670.0,,,1442 m² (eiet),,,,,,,,
808,https://www.finn.no/realestate/homes/ad.html?finnkode=204102488,Romslig og pen 2 - roms i 3.etg.med solrik balkong på ca.10 kvm I Ingen forkjøpsrett I Lave felleskostnader I Sentralt!,"Karl Staaffs vei 11, 0665 Oslo",3450000,Leilighet,Andel,1,57 m²,57.0,3,1960,G -mørkegrønn,203 154 kr,8 010 kr,3661164.0,3 668 kr,,,,,,,,,,
809,https://www.finn.no/realestate/homes/ad.html?finnkode=205111715,LEKKER 4-ROMS - NYOPPUSSET 2020 - V.V & FYRING INKL. - PEIS - P.PLASS - 3.ETG.- BALKONG - MÅ SEES!,"Lybekkveien 35 a, 0770 Oslo",6490000,Leilighet,Eier (Selveier),3,92 m²,92.0,,1952,,149 000 kr,174 212 kr,6813212.0,6 107 kr,,11965 m² (eiet),,104 m²,,,,,,
810,https://www.finn.no/realestate/homes/ad.html?finnkode=202391279,Nyere og tiltalende 3-roms med svært god planløsning - Stor vestvendt balkong - Garasjeplass - Fyring og vv. inkl.,"Turbinveien 24, 0195 Oslo",5300000,Leilighet,Andel,2,70 m²,70.0,2,2013,C -rød,,8 489 kr,5308489.0,3 461 kr,,,,,,,,,,
811,https://www.finn.no/realestate/homes/ad.html?finnkode=204916912,"Gjennomgående, pen 3-roms i 2. etasje. Sydvestvendt balkong. Mulighet for parkering. Planlagt nytt bad i regi av BRL.","Emil Korsmos vei 22, 0678 Oslo",3990000,Leilighet,Andel,2,66 m²,67.0,2,1958,E -rød,113 000 kr,1 132 kr,4104132.0,3 959 kr,,,,,,,,,,
812,https://www.finn.no/realestate/homes/ad.html?finnkode=203486711,Lys og attraktiv 3-roms andelsleilighet med solrik balkong - Peis - Kort vei til toget - Parkering i garasje - V.v inkl,"Stjerneblokkveien 2, 1083 Oslo",3000000,Leilighet,Andel,2,65 m²,65.0,2,1952,D -rød,270 319 kr,8 626 kr,3278945.0,4 113 kr,,,,,,,,,,
813,https://www.finn.no/realestate/homes/ad.html?finnkode=205076736,Moderne 2-roms fra 2013 med terrasse på 21m2 | Kjøkken fra 2019 | IN-ordning | Fjernvarme inkl | Rett ved T-banen!,"Gladengveien 6E, 0655 Oslo",2800000,Leilighet,Andel,1,51 m²,51.0,1,2013,C -lysegrønn,1 330 000 kr,15 503 kr,4145503.0,4 583 kr,,,,,,,,,,
814,https://www.finn.no/realestate/homes/ad.html?finnkode=180897646,LEVAHN MEK/ved Ensjø Torg: Tøff og svært lekker fabrikkleilighet over 3 plan - Ferdigstilt i Q1 2021,"Rolf Hofmos gate 8 og 10, 0655 Oslo",10700000,Leilighet,Eier (Selveier),3,127.5 m²,1322.0,1,2020,,,352 960 kr,11052960.0,3 900 kr,6,,,,,,,,,
815,https://www.finn.no/realestate/homes/ad.html?finnkode=204723102,Attraktiv 3-roms ENDELEILIGHET m/ 12 m² balkong ~ Meget sentral med kort vei til T-bane/butikk - Vv. og fyring inkl.,"Ammerudhellinga 43, 0959 Oslo",2790000,Leilighet,Andel,2,70 m²,86.0,6,1967,,241 000 kr,8 626 kr,3039626.0,5 088 kr,3,,,,,,,,,
816,https://www.finn.no/realestate/homes/ad.html?finnkode=194298203,"Garasjeplass i moderne, sikkert & veldrevet anlegg rett ved Middelthunet. Enkel adkomst sentralt på Majorstuen","Arbos gate 2A, 0368 Oslo",575000,Andre,Aksje,0,,11.0,,,,,2 700 kr,577700.0,497 kr,,,,,Eiet,,,,,
817,https://www.finn.no/realestate/homes/ad.html?finnkode=197835083,Særegen og attraktiv enebolig med meget høye kvaliteter og  dobbel garasje. Barnevennlig beliggenhet og utleiedel.,"Furulundsveien 14B, 0282 Oslo",20900000,Enebolig,Eier (Selveier),3,242 m²,327.0,,1970,G -mørkegrønn,,538 142 kr,21438142.0,,,755 m² (eiet),23 974 kr per år,,,,,,,
818,https://www.finn.no/realestate/homes/ad.html?finnkode=199699531,Holmendammen / Makrellbekken - Påkostet enebolig med skjermet beliggenhet i blindvei - Godkjent hybel - 3(4) soverom,"Slyngveien 5B, 0376 Oslo",17850000,Enebolig,Eier (Selveier),4,263 m²,301.0,,1966,F -rød,,461 920 kr,18311920.0,,6,,23 106 kr per år,,,,,,,
819,https://www.finn.no/realestate/homes/ad.html?finnkode=204763674,Lys og moderne 2-roms med solrik balkong | Heis | Garasjeplass | Varmtvann inkl. | Lave omk. | Perfekt førstegangskjøp!,"Skullerudskogen 9, 1188 Oslo",2300000,Leilighet,Andel,1,42 m²,42.0,3,2006,D -rød,688 592 kr,8 009 kr,2996601.0,8 341 kr,,,,,,,,,,
820,https://www.finn.no/realestate/homes/ad.html?finnkode=200508099,"Eksklusiv leilighet med gjennomgående planløsning, 2 balkonger, fjordutsikt og garasjeplass med el-lader*","Dyna brygge 3, 0252 Oslo",17000000,Leilighet,Eier (Selveier),2,122 m²,122.0,2,2014,C -mørkegrønn,6 378 kr,436 720 kr,17443098.0,6 805 kr,,,,,,,,,,
