,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Kommunale avg.,Tomteareal,Renovert år,Tomt,Bruttoareal,Grunnflate,Boligselgerforsikring,Pris med fellesgjeld,Festeavgift
281,https://www.finn.no/realestate/homes/ad.html?finnkode=189458878,Eksklusiv halvpart av vertikaldelt tomannsbolig med høy standard i moderne funkisstil og med flott utsikt,"Bekkelifaret 1C, 2387 Brumunddal",4250000,Tomannsbolig,Eier (Selveier),3,108 m²,113.0,2,2018,,,107 592 kr,4357592.0,,B -oransje,13 570 kr per år,,,,,,,,
282,https://www.finn.no/realestate/homes/ad.html?finnkode=197548556,Enebolig med alt på ett plan i populært og rolig boligfelt. Flott hage. Livsløpsstandard. Carport. 2 soverom.,"Nordahlvegen 18B, 2312 Ottestad",2950000,Enebolig,Eier (Selveier),2,60 m²,65.0,,2014,,,89 392 kr,3039392.0,,C -oransje,,458 m² (eiet),,,,,,,
283,https://www.finn.no/realestate/homes/ad.html?finnkode=201737528,Pen og lettstelt 2-roms kjedet enebolig - trinnfri adkomst og alt på èn flate - carport - solrik terrasse,"Momyrvegen 78, 2334 Romedal",1150000,Enebolig,Andel,1,53 m²,56.0,,2005,2,438 000 kr,1 162 kr,1589162.0,4 987 kr,C -oransje,,,,,,,,,
284,https://www.finn.no/realestate/homes/ad.html?finnkode=201740314,Visning 21/01 kl. 16.30- 17.00- Attraktiv rekkehusleilighet over to plan med innredet kjeller- Skjermet og barnevennlig,"Vestbyvegen 52, 2835 Raufoss",2100000,Rekkehus,Andel,3,131 m²,149.0,,1970,4,361 009 kr,1 162 kr,2462171.0,5 589 kr,E -gul,,,,,,,,,
285,https://www.finn.no/realestate/homes/ad.html?finnkode=202713820,"#Fjeldsetlia. Nyoppusset, lekker og innholdsrik enebolig. Delv. innredet kjeller med egen inng. Peis. Garasje. Sentralt.","General Ruges veg 38, 2414 Elverum",4850000,Enebolig,Eier (Selveier),5,165 m²,195.0,,1972,6,,134 092 kr,4984092.0,,E -gul,18 962 kr per år,,,,,,,,
286,https://www.finn.no/realestate/homes/ad.html?finnkode=202710498,Lekker og godt utnyttet 2-roms leilighet i 2.etasje. Heis i bygget. Gode solforhold på balkong.,"Olav Trygvasons gate 67 A, 2319 Hamar",2100000,Leilighet,Andel,,51 m²,51.0,2,1966,,246 725 kr,8 032 kr,2354757.0,4 318 kr,E -lysegrønn,,,,Eiet,,,,,
287,https://www.finn.no/realestate/homes/ad.html?finnkode=197039671,"Meget pen enebolig fra 2014 med dobbelgarasje, hage og romslig terrasse. Landlig, barnevennlig og kort vei til skole.","Gjerluvegen 464A, 2320 Furnes",3900000,Enebolig,Eier (Selveier),3,123 m²,126.0,2,2014,,,,,,C -oransje,14 445 kr per år,,,,,,,,
288,https://www.finn.no/realestate/homes/ad.html?finnkode=185565113,Mjøstårnet - Lys og lekker 2-roms leilighet i 13. etg. med spektakulær utsikt!,"Tårnvegen 55, 2380 Brumunddal",3600000,Leilighet,Eier (Selveier),1,64 m²,66.0,13,2018,,,91 342 kr,3691342.0,2 689 kr,C -mørkegrønn,,,,,,,,,
289,https://www.finn.no/realestate/homes/ad.html?finnkode=184077653,Tynset - Enebolig med utleie/hel tomannsbolig fra 2016 og ubebygd tomt. Terrasse og carport,"Fredlund 10, 2500 Tynset",3230000,Enebolig,Eier (Selveier),4,122 m²,130.0,,2016,,,96 220 kr,3326220.0,,C -oransje,,,,Eiet,,,,,
290,https://www.finn.no/realestate/homes/ad.html?finnkode=187171829,Bo midt i sentrum i lettstelt 3-roms selveierleilighet fra 2017. Balkong- Heis- Garasjeplass. Stor felles takterrasse.,"Tordenskjolds gate 3, 2821 Gjøvik",4100000,Leilighet,Eier (Selveier),2,74 m²,78.0,2,2017,,,103 872 kr,4203872.0,3 405 kr,C -mørkegrønn,,,,,,,,,
291,https://www.finn.no/realestate/homes/ad.html?finnkode=193480817,Flott 3-roms eierleilighet i 3.etasje med vestvendt veranda beliggende i sentrum. Garasjeplass og heis.,"Børresens veg 4C, 2615 Lillehammer",3650000,Leilighet,Eier (Selveier),2,67 m²,70.0,3,2008,,7 355 kr,92 762 kr,3750117.0,1 959 kr,C -rød,13 327 kr per år,,,,,,,,
292,https://www.finn.no/realestate/homes/ad.html?finnkode=184587000,BUD MOTTATT! Lekker familiebolig med luftig og moderne preg! Omfattende modernisert i 2020 med lekre kjøkken og bad.,"Tranberglia 19, 2819 Gjøvik",8450000,Enebolig,Eier (Selveier),4,286 m²,368.0,2,1967,,,228 592 kr,8678592.0,,F -gul,22 297 kr per år,,,,,,,,
293,https://www.finn.no/realestate/homes/ad.html?finnkode=179499918,"Stor, veldisponert og trivelig enebolig med sentrumsnær beliggenhet!","Hubroveien 6, 2450 Rena",4090000,Enebolig,Eier (Selveier),,218 m²,222.0,,1998,,,117 892 kr,4207892.0,,,16 296 kr per år,1355 m² (eiet),,,241 m²,,Ja,,
294,https://www.finn.no/realestate/homes/ad.html?finnkode=193471729,"Sentrumsnær andelsleilighet med god planløsning, balkong og garasjeplass.","Løkkegata 10, 2615 Lillehammer",2700000,Leilighet,Andel,1,55 m²,55.0,2,2007,,42 091 kr,8 060 kr,2750151.0,3 735 kr,C -rød,,,,,,,,,
295,https://www.finn.no/realestate/homes/ad.html?finnkode=202416765,VISNING 26/1! Innholdsrik og fin rekkehusleilighet. Garasje og utebod. Barnevennlig og fin beliggenhet ved Stavåsen.,"Strandstykket 81, 2409 Elverum",1850000,Leilighet,Andel,3,116 m²,156.0,,1976,,728 624 kr,8 032 kr,2586656.0,6 350 kr,D -rød,,46591 m² (eiet),,,,,,,
296,https://www.finn.no/realestate/homes/ad.html?finnkode=201727403,Løten - Leilighet i Kildetunet trinn 2 - Romslig 3-romsleilighet med god planløsning - Garasje - Heis,"Kildetunet - 2203, 2340 Løten",3250000,Leilighet,Eier (Selveier),2,75 m²,76.0,2,,3,,12 000 kr,3262000.0,2 448 kr,,,,,Eiet,,,,,
297,https://www.finn.no/realestate/homes/ad.html?finnkode=202313583,Innholdsrik familiebolig i et barnevennlig og populært boligfelt,"Slåttsvevegen 44, 2386 Brumunddal",2750000,Enebolig,Eier (Selveier),3,147 m²,164.0,,1978,,,70 122 kr,2820122.0,,F -gul,12 040 kr per år,365 m² (eiet),,,,,,,
298,https://www.finn.no/realestate/homes/ad.html?finnkode=197445888,"Koselig, praktisk og familierettet enebolig på solrik hjørnetomt i attraktivt og barnevennlig boligområde.  Garasje","Hellevegen 33, 2319 Hamar",4150000,Enebolig,Eier (Selveier),3,124 m²,132.0,,1992,3,,105 122 kr,4255122.0,,E -oransje,12 000 kr per år,,,,,,,,
299,https://www.finn.no/realestate/homes/ad.html?finnkode=202416981,"Lys og innholdsrik enebolig med god standard. Fin planløsning med 2 bad, 5 soverom og flere stuer. Vinterhage. Carport.","Bekkekroken 21, 2409 Elverum",3290000,Enebolig,Eier (Selveier),5,213 m²,243.0,,1972,,,97 892 kr,3387892.0,,E -gul,,697 m² (eiet),,,,,,,
300,https://www.finn.no/realestate/homes/ad.html?finnkode=200956271,"Lekker 4-roms leilighet i toppetasjen! Solrikt, fin utsikt og egen garasjeplass.","Barkvegen 12, 2214 Kongsvinger",2500000,Leilighet,Andel,3,91 m²,91.0,3,1971,,152 287 kr,1 162 kr,2653449.0,4 278 kr,G -oransje,,,,,,,,,
301,https://www.finn.no/realestate/homes/ad.html?finnkode=202678740,"Stilfull og nyere 4-roms selveierleilighet på bakkeplan,2 bad og p-kjeller. Solrik og fin utsikt på Solhøgda!","Solhøgdavegen 43, 2611 Lillehammer",5290000,Leilighet,Eier (Selveier),3,91 m²,95.0,1,2018,,,143 820 kr,5433820.0,4 845 kr,C -mørkegrønn,15 041 kr per år,,,,,,,,
302,https://www.finn.no/realestate/homes/ad.html?finnkode=156763718,"Reinsvoll - Pen, praktisk og moderne selveierleilighet med sentral beliggenhet - 3 soverom","Skaubovegen 10D, 2840 Reinsvoll",2190000,Leilighet,Eier (Selveier),3,96 m²,99.0,2,2013,,,63 742 kr,2253742.0,700 kr,D -rød,15 328 kr per år,,,,,,,,
303,https://www.finn.no/realestate/homes/ad.html?finnkode=202627192,"Romslig, hyggelig og familievennlig enebolig nært Hamar. Vidstrakt utsikt, stor tomt, gode solforhold og dobbelgarasje.","Bjørgedalsvegen 618, 2320 Furnes",2900000,Enebolig,Eier (Selveier),4,157 m²,178.0,3,1965,6,,73 842 kr,2973842.0,,,10 000 kr per år,,,,,,,,
304,https://www.finn.no/realestate/homes/ad.html?finnkode=191107417,VISNING 26/1! Velholdt og hyggelig enebolig med barnevennlig beliggenhet. Dobbel og enkel garasje. Stavåsen.,"Blåbærvegen 10, 2409 Elverum",3750000,Enebolig,Eier (Selveier),2,172 m²,206.0,,1977,,,109 392 kr,3859392.0,,E -gul,,1052 m² (eiet),,,,,,,
305,https://www.finn.no/realestate/homes/ad.html?finnkode=202460309,Nyere oppført 1/2 part tomannsbolig fra 2019 klar for innflytting. God standard. Solrikt og rolig på Segalstad Bru.,"Fjerdumsskogen 11B, 2651 Østre Gausdal",3000000,Tomannsbolig,Eier (Selveier),4,107 m²,112.0,2,2019,,,76 342 kr,3076342.0,,C -oransje,10 361 kr per år,,,,,,,,
306,https://www.finn.no/realestate/homes/ad.html?finnkode=202416846,Velholdt og fin enebolig med attraktiv beliggenhet på Hanstad. Flere stuer og fine uteplasser. Dobbel garasje.,"Olav Duuns veg 2, 2407 Elverum",3890000,Enebolig,Eier (Selveier),3,217 m²,227.0,,1980,,,112 892 kr,4002892.0,,E -gul,,990 m² (eiet),,,,,,,
307,https://www.finn.no/realestate/homes/ad.html?finnkode=179713287,RIDABU - Eksklusiv og unik funkisvilla med attraktiv beliggenhet. 5 soverom. Dobbelgarasje. Flott utsikt mot Mjøsa.,"Leirvegen 2, 2322 Ridabu",8490000,Enebolig,Eier (Selveier),5,187 m²,227.0,,2018,,,201 520 kr,8691520.0,,B -rød,39 236 kr per år,681 m² (eiet),,,,,,,
308,https://www.finn.no/realestate/homes/ad.html?finnkode=202641093,En aldeles herlig og solrik enebolig over 2 plan med utsikt over Mjøsa! Pergola. Garasje. 4 soverom. 2 bad.,"Fridtjof Nansens veg 43, 2816 Gjøvik",5800000,Enebolig,Eier (Selveier),4,203 m²,254.0,,1965,,,160 670 kr,5960670.0,,G -oransje,24 205 kr per år,1273 m² (eiet),,,,,,,
309,https://www.finn.no/realestate/homes/ad.html?finnkode=202398560,"Delikat og romslig halvpart av tomannsbolig. 3 soverom, carport i fellesanlegg. Nær skole, barnehage og marka!","Djupmyrvegen 7A, 2406 Elverum",2750000,Tomannsbolig,Eier (Selveier),3,98 m²,102.0,,2012,4,,70 122 kr,2820122.0,1 650 kr,C -oransje,8 500 kr per år,,,,,,,,
310,https://www.finn.no/realestate/homes/ad.html?finnkode=202582946,"Pen 2-roms leilighet i 3.etg med vestvendt balkong, adkomst via heis. Sentral beliggenhet midt i hjertet av Hamar by","Morteruds gate 24, 2317 Hamar",2050000,Leilighet,Andel,1,57 m²,69.0,3,1963,,235 000 kr,8 457 kr,2293457.0,4 473 kr,E -mørkegrønn,,,,,,,,,
311,https://www.finn.no/realestate/homes/ad.html?finnkode=201041973,"Lettstelt, lys og fin leilighet med alt på ett plan - egen garasje - vestvendt terrasse - gangavstand til det meste!","Anna D. Sandermoens veg 9, 2260 Kirkenær",2250000,Tomannsbolig,Eier (Selveier),2,72 m²,76.0,,2006,3,,57 622 kr,2307622.0,,D -rød,5 474 kr per år,,,,,,,,
312,https://www.finn.no/realestate/homes/ad.html?finnkode=202551680,"Pen halvpart av vertikaldelt tomannsbolig, med solrike uteplasser og nydelig utsikt. Rolig og skjermet beliggenhet.","Jakobsvegen 10B, 2386 Brumunddal",2900000,Tomannsbolig,Eier (Selveier),3,104 m²,110.0,2,2007,4,,73 842 kr,2973842.0,,,17 000 kr per år,,,,,,,,
313,https://www.finn.no/realestate/homes/ad.html?finnkode=202263238,Innbydende halvpart av tomannsbolig med høy standard  - Garasje,"Friggs veg 10B, 2413 Elverum",3300000,Tomannsbolig,Eier (Selveier),3,104 m²,104.0,,2016,4,,83 872 kr,3383872.0,,B -oransje,9 475 kr per år,,,,,,,,
314,https://www.finn.no/realestate/homes/ad.html?finnkode=180434949,"Lys og koselig enebolig med oppgradert standard. Ca. 2,5 mål tomt. Kort veg til skole, barnehage og butikk.","Sørskogbygdvegen 871, 2412 Sørskogbygda",1280000,Enebolig,Eier (Selveier),1,98 m²,119.0,,1950,,,47 642 kr,1327642.0,,G -oransje,,2557 m² (eiet),,,,,,,
315,https://www.finn.no/realestate/homes/ad.html?finnkode=202416224,Landlig eiendom med solrik og barnevennlig beliggenhet i Ottestad. Flott utsikt. Dobbelgarasje.,"Hvervagutua 34, 2312 Ottestad",2800000,Enebolig,Eier (Selveier),3,144 m²,177.0,,1977,,,85 642 kr,2885642.0,,E -gul,,764 m² (eiet),,,,,,,
316,https://www.finn.no/realestate/homes/ad.html?finnkode=201913830,"Tiltalende, lys og pen eierleilighet med 3 soverom. Egen carportplass. Flott utsikt og meget god solgang.","Preståkervegen 8A, 2656 Follebu",2550000,Leilighet,Eier (Selveier),3,80 m²,80.0,1,2018,,,75 320 kr,2625320.0,1 000 kr,C -oransje,10 616 kr per år,,,,,,,,
317,https://www.finn.no/realestate/homes/ad.html?finnkode=196553258,Enebolig over to etasjer. Isolert og frittstående anneks. Solfylte uteplasser. Etablert boligområde.,"Klukevegen 40, 2318 Hamar",2590000,Enebolig,Eier (Selveier),2,85 m²,88.0,,1916,3,,80 392 kr,2670392.0,,G -oransje,,,,,,,,,
318,https://www.finn.no/realestate/homes/ad.html?finnkode=201087248,Tre nyoppførte og lekre kjedede eneboliger over to plan med attraktiv beliggenhet| 2 bad| 3 og 4 soverom| Carport,"Venslihagen 3, 5 og 7, 2340 Løten",4200000,Enebolig,Eier (Selveier),4,127 m²,131.0,,2020,,,8 342 kr,4208342.0,500 kr,B -rød,,,,Eiet,,,,,
319,https://www.finn.no/realestate/homes/ad.html?finnkode=177355841,"Stor og romslig tomannsbolig med utrolig flott utsikt øverst i Sveaholen. To boenheter, kan selges separat-garasjeplass.","Brotvegen 5A, 2680 Vågå",3850000,Tomannsbolig,Eier (Selveier),6,241 m²,294.0,2,2004,,,97 420 kr,3947420.0,,C -gul,44 383 kr per år,,,,,,,,
320,https://www.finn.no/realestate/homes/ad.html?finnkode=197445888,"Koselig, praktisk og familierettet enebolig på solrik hjørnetomt i attraktivt og barnevennlig boligområde.  Garasje","Hellevegen 33, 2319 Hamar",4150000,Enebolig,Eier (Selveier),3,124 m²,132.0,,1992,3,,105 122 kr,4255122.0,,E -oransje,12 000 kr per år,,,,,,,,
321,https://www.finn.no/realestate/homes/ad.html?finnkode=201828398,"Eidskog - Lys og moderne enebolig med god planløsning, stor overbygd terrasse og skjermet tomt med lettstelt hage.","Austmarkavegen 637, 2220 Åbogen",2100000,Enebolig,Eier (Selveier),3,104 m²,157.0,,1954,,,65 092 kr,2165092.0,,G -gul,6 803 kr per år,1660 m² (eiet),,,,,,,
322,https://www.finn.no/realestate/homes/ad.html?finnkode=202416188,Pen 2-roms leilighet like ved Hamar sentrum. Perfekt førstegangsbolig. Parkering.,"Elias Hofgaards gate 6 B, 2317 Hamar",2100000,Leilighet,Eier (Selveier),,53 m²,53.0,1,1900,,2 714 kr,64 092 kr,2166806.0,2 534 kr,G -oransje,,480 m² (eiet),,,,,,,
323,https://www.finn.no/realestate/homes/ad.html?finnkode=181409242,Kapp - Moderne selveierleilighet i 1 etg. - 2 sov - carport - solrikt og flott utsikt mot Mjøsa,"Thunvegen 27, 2849 Kapp",2950000,Leilighet,Eier (Selveier),2,74 m²,77.0,1,2016,,,82 742 kr,3032742.0,1 200 kr,D -oransje,20 680 kr per år,,,,,,,,
324,https://www.finn.no/realestate/homes/ad.html?finnkode=179499080,Ny leilighet i sentrum? Kom og opplev denne den 27 januar kl 1800.,"Sven Morens veg 2, 2408 Elverum",3230000,Leilighet,Eier (Selveier),2,72 m²,104.0,1,2015,,,92 292 kr,3322292.0,3 143 kr,F -mørkegrønn,15 476 kr per år,,,,,,,,
325,https://www.finn.no/realestate/homes/ad.html?finnkode=190992257,Lys og fin halvpart av tomannsbolig - Sentralt beliggende - Store soverom - Garasje - Nærhet til skole og barnehage!,"Skolevegen 18, 2270 Flisa",2345000,Tomannsbolig,Eier (Selveier),3,158 m²,186.0,2,2009,,,59 962 kr,2404962.0,,C -oransje,10 748 kr per år,,,,,,,,
326,https://www.finn.no/realestate/homes/ad.html?finnkode=202416233,Meget pen del av tomannsbolig med attraktiv beliggenhet - To etasjer - Nær bymarka - Pent opparbeidet uteplass,"Røsslyngvegen 25, 2409 Elverum",3600000,Tomannsbolig,Eier (Selveier),4,141 m²,151.0,,2011,,,105 642 kr,3705642.0,,B -mørkegrønn,16 772 kr per år,1092 m² (eiet),,,,,,,
