,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Tomteareal,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Rom,Kommunale avg.,Pris med fellesgjeld,Grunnflate,Tomt,Bruttoareal,Utleiedel,Solgtpris,Boligselgerforsikring,Renovert år
586,https://www.finn.no/realestate/homes/ad.html?finnkode=195878767,"Stor og eksklusiv 3(4)-roms front- og hjørneleil. med fantastisk sjøutsikt, sydvestvendt balkong på 16 kvm og garasje","Operagata 16, 0194 Oslo",17950000,Leilighet,Eier (Selveier),2,124 m²,129.0,4,2019,,,457 527 kr,18407527.0,6 118 kr,B -mørkegrønn,,,,,,,,,,
587,https://www.finn.no/realestate/homes/ad.html?finnkode=204301019,Lys og attraktiv 3-roms med peis og god takhøyde - store vindusflater  - to innganger - to kjøkken - to bad!,"Frognerveien 29B, 0263 Oslo",4900000,Leilighet,Andel,2,62 m²,62.0,,1896,,313 423 kr,8 582 kr,5222005.0,4 150 kr,G -rød,3,,,,,,,,,
588,https://www.finn.no/realestate/homes/ad.html?finnkode=204110365,"Delikat og gjennomgående 3-roms - Peis - Nærhet til ""alt"" - Ingen dok.avgift - V.vann, kabel-tv og internett inkl!","Bentsebrugata 8, 0476 Oslo",4290000,Leilighet,Andel,2,51 m²,51.0,1,1921,,216 000 kr,8 457 kr,4514457.0,3 772 kr,G -oransje,,,,,,,,,,
589,https://www.finn.no/realestate/homes/ad.html?finnkode=203972854,"Krydderhagen/ Løren- Moderne 2 roms leilighet med meget gode lysforhold, god planløsning, utsikt, sydvestvendt balkong","Bøkkerveien 26, 0579 Oslo",2650000,Leilighet,Andel,1,43 m²,43.0,6,2017,,1 748 436 kr,8 010 kr,4406446.0,8 783 kr,B -mørkegrønn,,,,,,,,,,
590,https://www.finn.no/realestate/homes/ad.html?finnkode=204700273,Pen og spesiell 2-roms over 2etasjer - Fabrikkleilighet med store vinduer- gulvareal 67m2 - Garasje,"Alnagata 11, 0192 Oslo",4000000,Leilighet,Andel,1,51 m²,51.0,1,1899,,,5 264 kr,4005264.0,4 184 kr,D -rød,,,,,,,,,,
591,https://www.finn.no/realestate/homes/ad.html?finnkode=190839558,Innholdsrik og velholdt halvpart av tomannsbolig med fin utsikt. Mulighet for hybel i u.etg. Garasje.,"Olaves Hvervens vei 50, 1266 Oslo",7000000,Tomannsbolig,Eier (Selveier),3,140 m²,145.0,,2000,263 m² (eiet),,189 020 kr,7189020.0,500 kr,D -oransje,,11 500 kr per år,,,,,,,,
592,https://www.finn.no/realestate/homes/ad.html?finnkode=121984109,Rå 5-roms med sjel i tidligere fabrikk-lokale midt i sentrum!,"Bernt Ankers gate 4 B, 0183 Oslo",9290000,Leilighet,Andel,4,172 m²,172.0,2,1898,,1 494 619 kr,12 385 kr,10797004.0,14 052 kr,G -oransje,,,,,,,,,,
593,https://www.finn.no/realestate/homes/ad.html?finnkode=201745786,Ny/ubebodd 1/2 av vertikaldelt 2-mannsbolig med 3 soverom- Barnevennlig og rolig beliggende i blindvei-Kjeller m/inngang,"Parkenga 20, 0957 Oslo",6500000,Tomannsbolig,Eier (Selveier),3,123 m²,152.0,,2020,799 m² (eiet),,56 342 kr,6556342.0,,,5,,,,,,,,,
594,https://www.finn.no/realestate/homes/ad.html?finnkode=202008826,"Lekker og meget romslig 3-r. m/ stor, solrik vestvendt. balk.(8,5kvm) - Heis - Opsjon på kjøp av garasjeplass -Ny 2015.","Hans Nordahls gate 76, 0481 Oslo",5350000,Leilighet,Eier (Selveier),2,65 m²,65.0,2,2015,,,135 092 kr,5485092.0,3 474 kr,,3,,,,,,,,,
595,https://www.finn.no/realestate/homes/ad.html?finnkode=204788093,Romslig 3-roms - Sydvendt innglasset balkong - Ingen dok.avgift - Heis - V.vann og internett inkl - Parkering*!,"Schweigaards gate 63, 0656 Oslo",4790000,Leilighet,Andel,2,64 m²,73.0,5,1991,,,8 582 kr,4798582.0,5 026 kr,E -rød,,,,,,,,,,
