,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
16,https://www.finn.no/realestate/homes/ad.html?finnkode=205829372,"NYHET - PÅMELDINGSVISNING 1. februar!  Innholdsrik pen selveierleilighet over 2 plan.  Veranda, utebod og parkering.","Morellveien 2 D, 4635 Kristiansand S",2290000,Leilighet,Eier (Selveier),2,97 m²,97.0,1,1992,,,68 820 kr,2358820.0,507 kr,,1772 m² (eiet),7 762 kr per år,,,,,,,,
17,https://www.finn.no/realestate/homes/ad.html?finnkode=205575673,Nedenes - Særdeles tiltalende og påkostet enebolig - Nyoppført i 2020 - Dobbelgarasje - Panorama sjøutsikt - Båtplass,"Flageborgveien 71, 4823 Nedenes",6990000,Enebolig,Eier (Selveier),4,179 m²,183.0,,2020,C -oransje,,48 170 kr,7038170.0,,,951 m² (eiet),17 890 kr per år,,,,,,,,
18,https://www.finn.no/realestate/homes/ad.html?finnkode=205593714,"Sagesund - Koselig enebolig i sørlandsidyll, ikke boplikt! Påmeldingsvisning lør. 6/2 kl. 14-15","Sagesundveien 156, 4900 Tvedestrand",1690000,Enebolig,Eier (Selveier),4,122 m²,129.0,,1953,G -oransje,,57 920 kr,1747920.0,,,487 m² (eiet),12 350 kr per år,,,,,,,,
19,https://www.finn.no/realestate/homes/ad.html?finnkode=205819996,"Lekker, stor enebolig på solrik utsiktstomt! Godkjent leilighet| 7 soverom | Dobbel garasje | Barnevennlig","Fidjeåsen 49, 4639 Kristiansand S",8490000,Enebolig,Eier (Selveier),7,276 m²,282.0,,2001,C -rød,,213 420 kr,8703420.0,,,,26 332 kr per år,,9,,,,,,
20,https://www.finn.no/realestate/homes/ad.html?finnkode=205554750,Lund - 3-roms selveier - tilhørende parkeringsplass - heis - balkong - rask overtagelse om ønskelig,"Kirkeveien 6, 4631 Kristiansand S",3000000,Leilighet,Eier (Selveier),2,72 m²,72.0,3,1984,E -rød,222 919 kr,92 092 kr,3315011.0,3 877 kr,,,4 100 kr per år,,,,,,,,
21,https://www.finn.no/realestate/homes/ad.html?finnkode=205767207,Ny lekker 2 roms selveier i 3. etg. med innglasset balkong - Heis og super beliggenhet i sentrum,"Kristian IV`s gate 21, 4610 Kristiansand S",2890000,Leilighet,Eier (Selveier),1,32 m²,39.0,3,2020,,,21 820 kr,2911820.0,1 399 kr,,5086 m² (eiet),,,,,,,,,
22,https://www.finn.no/realestate/homes/ad.html?finnkode=205404956,Lekker og meget innbydende 3-roms leilighet fra 2017 med 2 bad - Stor og solrik balkong - P-plass - Heis,"Kjøita 51, 4630 Kristiansand S",3990000,Leilighet,Eier (Selveier),2,71 m²,74.0,3,2017,B -mørkegrønn,,100 920 kr,4090920.0,3 093 kr,,,5 225 kr per år,,,,,,,,
23,https://www.finn.no/realestate/homes/ad.html?finnkode=205469141,VISN ONS 3. FEB - NYHET | Innholdsrikt rekkehus med fantastisk terrasseområde | Stor isolert hagestue | 3 soverom,"Tjuvhelleren 117, 4628 Kristiansand S",3190000,Rekkehus,Eier (Selveier),3,122 m²,147.0,,2000,,,91 392 kr,3281392.0,,,182 m² (eiet),,161 m²,,,,,,,
24,https://www.finn.no/realestate/homes/ad.html?finnkode=205511437,Lillesand -Lys og lekker del av tomannsbolig med funksjonell planløsning. Solrikt område og parkering rett utenfor!,"Heldalslia 12B, 4790 Lillesand",1750000,Tomannsbolig,Eier (Selveier),1,53 m²,59.0,,2010,C -oransje,,52 192 kr,1802192.0,,,1292 m² (eiet),,,,,,,,,
25,https://www.finn.no/realestate/homes/ad.html?finnkode=205490745,Parken syd - Nyere 2 roms leilighet med fin standard og stor innglasset balkong. Stor felles solrik takterrasse.,"Bjørndalen allé 1, 4633 Kristiansand S",2750000,Leilighet,Eier (Selveier),1,56 m²,67.0,3,2020,,,80 320 kr,2830320.0,2 104 kr,,2029 m² (eiet),,,,,,,,,
